instance,instance_sha256,backend,wc,wo,left,right,continuity_left,overtime_left,similarity_left,split_groups_left,continuity_right,overtime_right,similarity_right,split_groups_right,different_caregiver_services,different_slot_services,different_caregiver_groups,workload_l1,parent_sha256,parent_instance,family,target_rho,realized_rho,normal_fraction,anchor,continuity_right_minus_left,overtime_right_minus_left,similarity_right_minus_left,different_objective_vector
instances/research_depth_load_sweep/rho0.85_normal0.7/instance_u30_a20_v5_seed1003_critical.txt,883846ea906101b00f7b7f2fbc0a890b319e74f877ce0090ca0d33c52fcc21d7,gurobi-mip,1,1,lex-overtime,weighted,0,26,514,0,7,27,528,7,34,73,21,18,65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,u30_seed1003,0.85,0.847457627118644,0.7,False,7,1,14,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u30_a25_v5_seed1003_critical.txt,84703f1e959e73c9c0fcdc640c9079c853f50e74c7edc7910e617e59c74170b0,gurobi-mip,1,1,lex-cos,lex-overtime,0,19,492,0,0,19,492,0,0,0,0,0,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,u30_seed1003,0.98,0.974025974025974,0.85,False,0,0,0,False
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u30_a25_v5_seed1003_critical.txt,84703f1e959e73c9c0fcdc640c9079c853f50e74c7edc7910e617e59c74170b0,gurobi-mip,1,1,lex-cos,weighted,0,19,492,0,10,19,515,10,44,82,26,0,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,u30_seed1003,0.98,0.974025974025974,0.85,False,10,0,23,True
instances/research_depth_load_sweep/rho0.98_normal0.85/instance_u30_a25_v5_seed1003_critical.txt,84703f1e959e73c9c0fcdc640c9079c853f50e74c7edc7910e617e59c74170b0,gurobi-mip,1,1,lex-overtime,weighted,0,19,492,0,10,19,515,10,44,82,26,0,e90c35e7cece54d3787eeeb644bcf0edacb9c7c339799fb4aaa218f9d27dc487,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v5_seed1003_critical.txt,u30_seed1003,0.98,0.974025974025974,0.85,False,10,0,23,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a10_v5_seed1002_critical.txt,e2627d0882c4e1d2a551492800e7d7494fb0d23052690dda7c67d97f5faa1767,gurobi-mip,1,1,lex-cos,lex-overtime,4,0,722,4,4,0,722,4,0,0,0,0,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a10_v5_seed1002_critical.txt,e2627d0882c4e1d2a551492800e7d7494fb0d23052690dda7c67d97f5faa1767,gurobi-mip,1,1,lex-cos,weighted,4,0,722,4,15,0,743,15,46,101,29,18,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,0.7,False,11,0,21,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a10_v5_seed1002_critical.txt,e2627d0882c4e1d2a551492800e7d7494fb0d23052690dda7c67d97f5faa1767,gurobi-mip,1,1,lex-overtime,weighted,4,0,722,4,15,0,743,15,46,101,29,18,559a4cbe53b4c6b0b9bb730eba6ec962c70e2de70ab1b20d1f420367127f3bf9,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,0.7,False,11,0,21,True
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a25_v4_seed1003_critical.txt,b10ed824b5d50d7a08250c1ce7fb4cc0594d9a0f844a2fad5145236126449656,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,435,0,0,0,435,0,0,0,0,0,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,u30_seed1003,0.55,0.547945205479452,0.85,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a25_v4_seed1003_critical.txt,b10ed824b5d50d7a08250c1ce7fb4cc0594d9a0f844a2fad5145236126449656,gurobi-mip,1,1,lex-cos,weighted,0,0,435,0,2,2,441,2,51,54,31,38,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,u30_seed1003,0.55,0.547945205479452,0.85,False,2,2,6,True
instances/research_depth_load_sweep/rho0.55_normal0.85/instance_u30_a25_v4_seed1003_critical.txt,b10ed824b5d50d7a08250c1ce7fb4cc0594d9a0f844a2fad5145236126449656,gurobi-mip,1,1,lex-overtime,weighted,0,0,435,0,2,2,441,2,51,54,31,38,1106683ff4d0a32c24be1898a1c47de6e406379be52c648767eb810adcb9134d,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1003_critical.txt,u30_seed1003,0.55,0.547945205479452,0.85,False,2,2,6,True
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a25_v5_seed1002_critical.txt,87144b249fe9cd734c0bce16b77a89120ec4653541c47994a162405871542f97,gurobi-mip,1,1,lex-cos,lex-overtime,0,0,754,0,0,0,754,0,0,0,0,0,6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,0.7,False,0,0,0,False
instances/research_depth_load_sweep/rho0.55_normal0.7/instance_u40_a25_v5_seed1002_critical.txt,87144b249fe9cd734c0bce16b77a89120ec4653541c47994a162405871542f97,gurobi-mip,1,1,lex-cos,weighted,0,0,754,0,4,0,770,4,38,113,26,20,6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,u40_seed1002,0.55,0.5494505494505495,0.7,False,4,0,16,True
