"instance_name","ORIGINAL_status","ORIGINAL_best","ORIGINAL_elapsed_s","ORIGINAL_vars","SN-both-none_status","SN-both-none_best","SN-both-none_elapsed_s","SN-both-none_vars","SN-both-ss_status","SN-both-ss_best","SN-both-ss_elapsed_s","SN-both-ss_vars","SN-none-ss_status","SN-none-ss_best","SN-none-ss_elapsed_s","SN-none-ss_vars","TOT-both-none_status","TOT-both-none_best","TOT-both-none_elapsed_s","TOT-both-none_vars","TOT-both-ss_status","TOT-both-ss_best","TOT-both-ss_elapsed_s","TOT-both-ss_vars","TOT-none-none_status","TOT-none-none_best","TOT-none-none_elapsed_s","TOT-none-none_vars","TOT-none-ss_status","TOT-none-ss_best","TOT-none-ss_elapsed_s","TOT-none-ss_vars"
"instance_30_10_4_50","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,066","0","UNSATISFIABLE","","0,07","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,052","0"
"instance_30_10_4_6","OPTIMUM","388","10,409","15363","OPTIMUM","388","9,636","22694","OPTIMUM","388","9,707","22694","OPTIMUM","388","10,354","15363","OPTIMUM","388","7,857","9659","OPTIMUM","388","7,985","9659","OPTIMUM","388","7,659","6119","OPTIMUM","388","8,679","6119"
"instance_30_10_4_7","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,065","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,05","0"
"instance_30_10_4_8","OPTIMUM","414","26,8","15326","OPTIMUM","414","25,939","22161","OPTIMUM","414","28,323","22170","OPTIMUM","414","27,019","15738","OPTIMUM","414","21,024","9114","OPTIMUM","414","25,122","9123","OPTIMUM","414","20,781","5743","OPTIMUM","414","26,412","6155"
"instance_30_10_4_9","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,064","0","UNSATISFIABLE","","0,067","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,051","0"
"instance_30_10_5_1","OPTIMUM","496","20,329","17088","OPTIMUM","496","25,634","27996","OPTIMUM","496","22,355","28009","OPTIMUM","496","25,062","17628","OPTIMUM","496","18,964","11327","OPTIMUM","496","19,441","11340","OPTIMUM","496","17,668","6612","OPTIMUM","496","20,394","7152"
"instance_30_10_5_10","OPTIMUM","480","17,637","17488","OPTIMUM","480","23,825","27521","OPTIMUM","480","26,106","27524","OPTIMUM","480","23,875","18011","OPTIMUM","480","25,761","11574","OPTIMUM","480","17,496","11577","OPTIMUM","480","25,144","6952","OPTIMUM","480","18,274","7475"
"instance_30_10_5_11","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,053","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,074","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,055","0"
"instance_30_10_5_12","UNSATISFIABLE","","0,057","0","UNSATISFIABLE","","0,086","0","UNSATISFIABLE","","0,087","0","UNSATISFIABLE","","0,078","0","UNSATISFIABLE","","0,089","0","UNSATISFIABLE","","0,09","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,082","0"
"instance_30_10_5_13","UNSATISFIABLE","","0,124","0","UNSATISFIABLE","","0,149","0","UNSATISFIABLE","","0,152","0","UNSATISFIABLE","","0,127","0","UNSATISFIABLE","","0,142","0","UNSATISFIABLE","","0,142","0","UNSATISFIABLE","","0,118","0","UNSATISFIABLE","","0,123","0"
"instance_30_10_5_14","UNSATISFIABLE","","0,153","0","UNSATISFIABLE","","0,218","0","UNSATISFIABLE","","0,217","0","UNSATISFIABLE","","0,26","0","UNSATISFIABLE","","0,186","0","UNSATISFIABLE","","0,196","0","UNSATISFIABLE","","0,127","0","UNSATISFIABLE","","0,15","0"
