"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"","5","TOT-none-none","totalizer","none","none","300","232","1","67","0","77,3","22,5422","20,9685","1649,433","22,4694","10525,97","121963,9","2530,733","484,1853","488,7629","4,5474","0,0302","65,015"
"","6","TOT-none-ss","totalizer","none","slot-service","300","231","2","67","0","77","22,2396","20,6316","1673,125","22,1638","10882,59","123954,3","2531,035","483,9567","488,4762","4,5065","0,013","65,0626"
"","7","TOT-both-none","totalizer","both","none","300","232","1","67","0","77,3","24,0575","21,8456","1650,605","23,9715","14381,37","141964,5","2530,733","484,1853","488,8405","4,6466","0,0086","65,015"
"","8","TOT-both-ss","totalizer","both","slot-service","300","232","1","67","0","77,3","24,1275","21,7359","1650,659","24,0403","14389,72","142000,9","2530,733","484,1853","488,8147","4,6207","0,0086","65,015"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_10_4","1","ORIGINAL","sorting-network","none","none","50","16","5","29","0","32","45,4551","34,274","4910,546","45,4003","24359,56","90460,13","1947,813","549,75","555,4375","5,5","0,1875","25,9062"
"","2","SN-none-ss","sorting-network","none","slot-service","50","16","5","29","0","32","41,6758","32,0429","4909,336","41,6184","24785,5","92279,06","1947,813","549,75","555,5625","5,5","0,3125","25,9062"
"","3","SN-both-none","sorting-network","both","none","50","16","5","29","0","32","40,1657","36,1315","4908,853","40,0905","35005,56","122811,3","1947,813","549,75","555,6875","5,75","0,1875","25,9062"
"","4","SN-both-ss","sorting-network","both","slot-service","50","15","6","29","0","30","34,3367","32,434","5050,301","34,2605","35025,73","123050,6","1954,667","550,8667","556,4","5,4","0,1333","26,4139"
"","5","TOT-none-none","totalizer","none","none","50","17","4","29","0","34","38,9817","31,5069","4765,254","38,9206","8614,529","104032,5","1940,647","548,9412","554,8235","5,6471","0,2353","25,3043"
"","6","TOT-none-ss","totalizer","none","slot-service","50","16","5","29","0","32","39,2687","32,905","4908,566","39,2038","9089,625","106852,1","1947,813","549,75","555,375","5,5","0,125","25,9062"
"","7","TOT-both-none","totalizer","both","none","50","16","5","29","0","32","38,761","27,6842","4908,404","38,6814","13578,38","129613,1","1947,813","549,75","555,5","5,4375","0,3125","25,9062"
"","8","TOT-both-ss","totalizer","both","slot-service","50","16","5","29","0","32","40,3309","31,6124","4908,906","40,2501","13553,06","129007,1","1946,625","549,9375","556,1875","5,875","0,375","25,7875"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_10_5","1","ORIGINAL","sorting-network","none","none","50","8","9","33","0","16","50,8024","47,7617","6056,1284","50,7428","29344,75","110928,875","2256,75","686,25","693,5","7","0,25","25,0014"
