instance,instance_sha256,method,maxsat_configuration,maxsat_status,gurobi_status,cplex_status,commercial_status_agreement,commercial_objective_agreement_when_optimal,maxsat_status_agreement_when_decided,maxsat_objective_agreement_when_optimal,maxsat_elapsed_seconds,gurobi_elapsed_seconds,cplex_elapsed_seconds,cplex_over_gurobi_runtime
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_1.txt,987b2d19f85e05463d5f9116d0c9cb555826e3bdbff02e35da167a3eb6a8ee09,lex-cos,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.133607944,0.01646122,0.025039936,1.5211470352744207
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_10_5_1.txt,987b2d19f85e05463d5f9116d0c9cb555826e3bdbff02e35da167a3eb6a8ee09,weighted,totalizer-none-none,UNSATISFIABLE,INFEASIBLE,INFEASIBLE,True,,True,,0.205042951,0.016641199,0.024954718,1.4995745198407882
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_2.txt,9bb873764009d45c4b7664f2c1cbef4f4609c4e7b613025f831a0c24320a7ebe,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,126.2339551,0.197149793,0.384818349,1.9519084607915365
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_4_2.txt,9bb873764009d45c4b7664f2c1cbef4f4609c4e7b613025f831a0c24320a7ebe,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,250.4151867,0.1094342,0.234974778,2.1471786516463776
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_1.txt,9f6a97e0d98a957d36f6fdfa2ca9c2b413a21bc4714ecb3ef33d5992a4a521d3,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,139.3028961,0.364119961,0.646838157,1.7764424538098862
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_1.txt,9f6a97e0d98a957d36f6fdfa2ca9c2b413a21bc4714ecb3ef33d5992a4a521d3,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,51.49283508,0.124346078,0.190077636,1.5286178628006264
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_3.txt,9f73b4873d39ff5bde77dcc8fc8f2c843d0369d85a32350bd04fca9451b37af7,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,153.4293104,0.330251198,0.585582893,1.7731438872781922
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_15_5_3.txt,9f73b4873d39ff5bde77dcc8fc8f2c843d0369d85a32350bd04fca9451b37af7,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,61.94680844,0.128588756,0.137535195,1.0695740380286438
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_1.txt,a3e643aa790c83d208bf030ff6546a5205b4252aeb402eef9516abe30e7ede51,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,87.81426885,0.253087972,0.50755483,2.005448247852727
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_5_1.txt,a3e643aa790c83d208bf030ff6546a5205b4252aeb402eef9516abe30e7ede51,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,27.48486155,0.077445826,0.140741099,1.8172844976822897
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_2.txt,a5fd07405bd2138e224fcff99971af5c8fb458055ce1f5659f97abe4d7cf6567,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,137.2787474,0.294187043,0.557887827,1.896371170228595
