instance_sha256,backend,wc,wo,instance,slack_from,slack_to,overtime_reduction,similarity_change
60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,1,2,0,4
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,0,1,1,8
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,1,2,0,14
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,0,1,0,13
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,1,2,0,9
64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,0,1,0,8
64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,1,2,0,4
65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,0,1,0,8
65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,1,2,0,4
68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,0,1,0,3
