run_id	instance_sha256	instance	backend	formulation	method	delta	result	exit_code
a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.10	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-t	epsilon	0.10	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-t_epsilon_delta_0.10.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_weighted	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	weighted	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_weighted.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_lex-continuity	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	lex-continuity	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_lex-continuity.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_lex-overtime	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	lex-overtime	-	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_lex-overtime.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	epsilon	0	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.01	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	epsilon	0.01	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.01.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.025	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	epsilon	0.025	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.025.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.05	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	epsilon	0.05	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.05.json	1
a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.10	a2c520838343a9b5ded99baa7fabf5b70d8d1667639344e540d180205c790857	tests/instances/partial_coverage.txt	cplex-cp	cp-i	epsilon	0.10	experiments/results/commercial_main/a2c520838343_partial_coverage_cplex-cp_cp-i_epsilon_delta_0.10.json	1
1292ba78fbcf_symmetry_gurobi-mip_mip-e_weighted	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	weighted	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_weighted.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_lex-continuity	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	lex-continuity	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_lex-continuity.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_lex-overtime	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	lex-overtime	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_lex-overtime.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	epsilon	0	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.01	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	epsilon	0.01	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.01.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.025	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	epsilon	0.025	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.025.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.05	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	epsilon	0.05	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.05.json	0
1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.10	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	gurobi-mip	mip-e	epsilon	0.10	experiments/results/commercial_main/1292ba78fbcf_symmetry_gurobi-mip_mip-e_epsilon_delta_0.10.json	0
1292ba78fbcf_symmetry_cplex-mip_mip-e_weighted	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	weighted	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_weighted.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_lex-continuity	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	lex-continuity	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_lex-continuity.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_lex-overtime	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	lex-overtime	-	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_lex-overtime.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	epsilon	0	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.01	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	epsilon	0.01	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.01.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.025	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	epsilon	0.025	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.025.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.05	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	epsilon	0.05	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.05.json	1
1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.10	1292ba78fbcf58efd36c094e1bfde7a53c90f5158d7ba857af84e503be90268d	tests/instances/symmetry.txt	cplex-mip	mip-e	epsilon	0.10	experiments/results/commercial_main/1292ba78fbcf_symmetry_cplex-mip_mip-e_epsilon_delta_0.10.json	1
