instance_sha256,backend,wc,wo,instance,slack,status,continuity_reference,continuity,overtime,similarity
60b67ddc948fc1382700a5f01082aad04d5d3d19d708c2351412f697e9f9ead7,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1003_critical.txt,2,OPTIMUM,0,2,0,538
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,0,OPTIMUM,2,2,1,490
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,1,OPTIMUM,2,3,0,498
62008dec11bbf59cff06c3683881ade351ca92418b870d35d1f1890238c858bd,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1002_critical.txt,2,OPTIMUM,2,4,0,512
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,0,OPTIMUM,3,3,0,491
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,1,OPTIMUM,3,4,0,504
639577696bca853293d2ae7d38a7ba6a70e96d5c5a65dbe9dd57285b00a779ad,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a10_v5_seed1002_critical.txt,2,OPTIMUM,3,5,0,513
64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,0,OPTIMUM,0,0,0,491
64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,1,OPTIMUM,0,1,0,499
64a7b2c2ff975f7b043d37a3b7cd606305b2dcbf5aed735f467f0ff6c51b422e,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a15_v5_seed1003_critical.txt,2,OPTIMUM,0,2,0,503
