instance_name;lex-continuity__ORIGINAL_status;lex-continuity__ORIGINAL_weighted_reference;lex-continuity__ORIGINAL_stages;lex-continuity__ORIGINAL_elapsed_s;lex-continuity__ORIGINAL_vars;lex-continuity__SN-both-none_status;lex-continuity__SN-both-none_weighted_reference;lex-continuity__SN-both-none_stages;lex-continuity__SN-both-none_elapsed_s;lex-continuity__SN-both-none_vars;lex-continuity__SN-both-ss_status;lex-continuity__SN-both-ss_weighted_reference;lex-continuity__SN-both-ss_stages;lex-continuity__SN-both-ss_elapsed_s;lex-continuity__SN-both-ss_vars;lex-continuity__SN-none-ss_status;lex-continuity__SN-none-ss_weighted_reference;lex-continuity__SN-none-ss_stages;lex-continuity__SN-none-ss_elapsed_s;lex-continuity__SN-none-ss_vars;lex-continuity__TOT-both-none_status;lex-continuity__TOT-both-none_weighted_reference;lex-continuity__TOT-both-none_stages;lex-continuity__TOT-both-none_elapsed_s;lex-continuity__TOT-both-none_vars;lex-continuity__TOT-both-ss_status;lex-continuity__TOT-both-ss_weighted_reference;lex-continuity__TOT-both-ss_stages;lex-continuity__TOT-both-ss_elapsed_s;lex-continuity__TOT-both-ss_vars;lex-continuity__TOT-none-none_status;lex-continuity__TOT-none-none_weighted_reference;lex-continuity__TOT-none-none_stages;lex-continuity__TOT-none-none_elapsed_s;lex-continuity__TOT-none-none_vars;lex-continuity__TOT-none-ss_status;lex-continuity__TOT-none-ss_weighted_reference;lex-continuity__TOT-none-ss_stages;lex-continuity__TOT-none-ss_elapsed_s;lex-continuity__TOT-none-ss_vars
instance_30_10_4_4;TIMEOUT;None;0 | 426;300.134;77796;TIMEOUT;None;0 | 426;300.138;84971;TIMEOUT;None;0 | 426;300.135;84991;TIMEOUT;None;0 | 426;300.135;78233;TIMEOUT;None;0 | 426;300.133;72589;TIMEOUT;None;0 | 426;300.132;72609;TIMEOUT;None;0 | 426;300.138;69115;TIMEOUT;None;0 | 426;300.135;69552
instance_30_10_4_40;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.081;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.059;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.038;0
instance_30_10_4_41;TIMEOUT;None;2 | 343;300.128;68385;TIMEOUT;None;2 | 343;300.125;75493;TIMEOUT;None;2 | 343;300.122;75517;TIMEOUT;None;2 | 343;300.127;68811;TIMEOUT;None;2 | 343;300.123;67500;TIMEOUT;None;2 | 343;300.131;67524;TIMEOUT;None;2 | 343;300.126;64153;TIMEOUT;None;2 | 343;300.129;64579
instance_30_10_4_42;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.064;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_43;TIMEOUT;None;1 | 404;300.134;71629;TIMEOUT;None;1 | 404;300.136;78172;TIMEOUT;None;1 | 404;300.137;78178;TIMEOUT;None;1 | 404;300.136;72029;TIMEOUT;None;1 | 404;300.137;62716;TIMEOUT;None;1 | 404;300.135;62722;TIMEOUT;None;1 | 404;300.134;59526;TIMEOUT;None;1 | 404;300.136;59926
instance_30_10_4_44;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.094;0;UNSATISFIABLE;None;;0.092;0;UNSATISFIABLE;None;;0.07;0;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.077;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.057;0
instance_30_10_4_45;TIMEOUT;None;0 | 357;300.126;72924;TIMEOUT;None;0 | 357;300.129;80324;TIMEOUT;None;0 | 357;300.13;80332;TIMEOUT;None;0 | 357;300.128;73354;TIMEOUT;None;0 | 357;300.133;67552;TIMEOUT;None;0 | 357;300.126;67560;TIMEOUT;None;0 | 357;300.129;64001;TIMEOUT;None;0 | 357;300.128;64431
instance_30_10_4_46;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.039;0;UNSATISFIABLE;None;;0.03;0;UNSATISFIABLE;None;;0.034;0;UNSATISFIABLE;None;;0.036;0;UNSATISFIABLE;None;;0.025;0;UNSATISFIABLE;None;;0.028;0
instance_30_10_4_47;TIMEOUT;None;0 | 387;300.131;81433;TIMEOUT;None;0 | 387;300.129;88690;TIMEOUT;None;0 | 387;300.13;88707;TIMEOUT;None;0 | 387;300.132;81875;TIMEOUT;None;0 | 387;300.128;78249;TIMEOUT;None;0 | 387;300.132;78266;TIMEOUT;None;0 | 387;300.127;74714;TIMEOUT;None;0 | 387;300.13;75156
instance_30_10_4_48;TIMEOUT;None;0 | 373;300.127;76596;TIMEOUT;None;0 | 373;300.13;83554;TIMEOUT;None;0 | 373;300.127;83554;TIMEOUT;None;0 | 373;300.13;77010;TIMEOUT;None;0 | 373;300.122;74266;TIMEOUT;None;0 | 373;300.126;74266;TIMEOUT;None;0 | 373;300.125;70789;TIMEOUT;None;0 | 373;300.122;71203
instance_30_10_4_49;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.075;0;UNSATISFIABLE;None;;0.057;0;UNSATISFIABLE;None;;0.072;0;UNSATISFIABLE;None;;0.071;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.061;0
instance_30_10_4_5;TIMEOUT;None;1 | 415;300.134;80482;TIMEOUT;None;1 | 415;300.128;86718;TIMEOUT;None;1 | 415;300.13;86722;TIMEOUT;None;1 | 415;300.13;80869;TIMEOUT;None;1 | 415;300.141;75808;TIMEOUT;None;1 | 415;300.128;75812;TIMEOUT;None;1 | 415;300.139;72676;TIMEOUT;None;1 | 415;300.127;73063
