instance_name;weighted__ORIGINAL_status;weighted__ORIGINAL_weighted_reference;weighted__ORIGINAL_stages;weighted__ORIGINAL_elapsed_s;weighted__ORIGINAL_vars;weighted__SN-both-none_status;weighted__SN-both-none_weighted_reference;weighted__SN-both-none_stages;weighted__SN-both-none_elapsed_s;weighted__SN-both-none_vars;weighted__SN-both-ss_status;weighted__SN-both-ss_weighted_reference;weighted__SN-both-ss_stages;weighted__SN-both-ss_elapsed_s;weighted__SN-both-ss_vars;weighted__SN-none-ss_status;weighted__SN-none-ss_weighted_reference;weighted__SN-none-ss_stages;weighted__SN-none-ss_elapsed_s;weighted__SN-none-ss_vars;weighted__TOT-both-none_status;weighted__TOT-both-none_weighted_reference;weighted__TOT-both-none_stages;weighted__TOT-both-none_elapsed_s;weighted__TOT-both-none_vars;weighted__TOT-both-ss_status;weighted__TOT-both-ss_weighted_reference;weighted__TOT-both-ss_stages;weighted__TOT-both-ss_elapsed_s;weighted__TOT-both-ss_vars;weighted__TOT-none-none_status;weighted__TOT-none-none_weighted_reference;weighted__TOT-none-none_stages;weighted__TOT-none-none_elapsed_s;weighted__TOT-none-none_vars;weighted__TOT-none-ss_status;weighted__TOT-none-ss_weighted_reference;weighted__TOT-none-ss_stages;weighted__TOT-none-ss_elapsed_s;weighted__TOT-none-ss_vars
instance_30_10_4_39;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.046;0;UNSATISFIABLE;None;;0.048;0
instance_30_10_4_4;OPTIMUM;427.0;427;8.996;14595;OPTIMUM;427.0;427;11.429;21770;OPTIMUM;427.0;427;11.923;21790;OPTIMUM;427.0;427;8.038;15032;OPTIMUM;427.0;427;11.163;9388;OPTIMUM;427.0;427;6.202;9408;OPTIMUM;427.0;427;6.546;5914;OPTIMUM;427.0;427;5.521;6351
instance_30_10_4_40;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.094;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.062;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.069;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.05;0
instance_30_10_4_41;OPTIMUM;350.0;350;8.794;8502;OPTIMUM;350.0;350;9.904;15610;OPTIMUM;350.0;350;9.008;15634;OPTIMUM;350.0;350;7.979;8928;OPTIMUM;350.0;350;9.144;7617;OPTIMUM;350.0;350;7.492;7641;OPTIMUM;350.0;350;9.467;4270;OPTIMUM;350.0;350;7.174;4696
instance_30_10_4_42;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.063;0;UNSATISFIABLE;None;;0.049;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_43;OPTIMUM;412.0;412;21.576;18422;OPTIMUM;412.0;412;15.608;24965;OPTIMUM;412.0;412;19.538;24971;OPTIMUM;412.0;412;19.921;18822;OPTIMUM;412.0;412;18.218;9509;OPTIMUM;412.0;412;18.015;9515;OPTIMUM;412.0;412;16.818;6319;OPTIMUM;412.0;412;10.852;6719
instance_30_10_4_44;UNSATISFIABLE;None;;0.088;0;UNSATISFIABLE;None;;0.128;0;UNSATISFIABLE;None;;0.116;0;UNSATISFIABLE;None;;0.081;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.084;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.068;0
instance_30_10_4_45;OPTIMUM;365.0;365;5.437;14403;OPTIMUM;365.0;365;2.602;21803;OPTIMUM;365.0;365;5.802;21811;OPTIMUM;365.0;365;2.372;14833;OPTIMUM;365.0;365;7.186;9031;OPTIMUM;365.0;365;6.274;9039;OPTIMUM;365.0;365;7.724;5480;OPTIMUM;365.0;365;6.027;5910
instance_30_10_4_46;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.04;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.047;0;UNSATISFIABLE;None;;0.027;0;UNSATISFIABLE;None;;0.028;0
instance_30_10_4_47;OPTIMUM;395.0;395;13.515;11712;OPTIMUM;395.0;395;10.336;18969;OPTIMUM;395.0;395;9.715;18986;OPTIMUM;395.0;395;10.054;12154;OPTIMUM;395.0;395;10.896;8528;OPTIMUM;395.0;395;7.168;8545;OPTIMUM;395.0;395;8.892;4993;OPTIMUM;395.0;395;5.337;5435
instance_30_10_4_48;OPTIMUM;375.0;375;6.26;10175;OPTIMUM;375.0;375;6.651;17133;OPTIMUM;375.0;375;6.56;17133;OPTIMUM;375.0;375;5.434;10589;OPTIMUM;375.0;375;7.231;7845;OPTIMUM;375.0;375;8.279;7845;OPTIMUM;375.0;375;5.213;4368;OPTIMUM;375.0;375;5.231;4782
instance_30_10_4_49;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.11;0;UNSATISFIABLE;None;;0.109;0;UNSATISFIABLE;None;;0.089;0;UNSATISFIABLE;None;;0.091;0;UNSATISFIABLE;None;;0.092;0;UNSATISFIABLE;None;;0.08;0;UNSATISFIABLE;None;;0.079;0
instance_30_10_4_5;OPTIMUM;418.0;418;17.196;13334;OPTIMUM;418.0;418;19.774;19570;OPTIMUM;418.0;418;13.766;19574;OPTIMUM;418.0;418;12.645;13721;OPTIMUM;418.0;418;18.151;8660;OPTIMUM;418.0;418;17.321;8664;OPTIMUM;418.0;418;18.901;5528;OPTIMUM;418.0;418;12.872;5915
instance_30_10_4_50;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.068;0;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.051;0
instance_30_10_4_6;OPTIMUM;388.0;388;10.277;15363;OPTIMUM;388.0;388;9.679;22694;OPTIMUM;388.0;388;9.593;22694;OPTIMUM;388.0;388;10.422;15363;OPTIMUM;388.0;388;7.94;9659;OPTIMUM;388.0;388;7.822;9659;OPTIMUM;388.0;388;6.792;6119;OPTIMUM;388.0;388;7.587;6119
instance_30_10_4_7;UNSATISFIABLE;None;;0.051;0;UNSATISFIABLE;None;;0.065;0;UNSATISFIABLE;None;;0.066;0;UNSATISFIABLE;None;;0.052;0;UNSATISFIABLE;None;;0.054;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.048;0
instance_30_10_4_8;OPTIMUM;414.0;414;25.887;15326;OPTIMUM;414.0;414;26.608;22161;OPTIMUM;414.0;414;24.736;22170;OPTIMUM;414.0;414;22.592;15738;OPTIMUM;414.0;414;18.265;9114;OPTIMUM;414.0;414;22.578;9123;OPTIMUM;414.0;414;20.101;5743;OPTIMUM;414.0;414;21.646;6155
instance_30_10_4_9;UNSATISFIABLE;None;;0.05;0;UNSATISFIABLE;None;;0.076;0;UNSATISFIABLE;None;;0.067;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.053;0;UNSATISFIABLE;None;;0.048;0;UNSATISFIABLE;None;;0.051;0
instance_40_10_5_1;UNSATISFIABLE;None;;0.23;0;UNSATISFIABLE;None;;0.253;0;UNSATISFIABLE;None;;0.254;0;UNSATISFIABLE;None;;0.205;0;UNSATISFIABLE;None;;0.202;0;UNSATISFIABLE;None;;0.204;0;UNSATISFIABLE;None;;0.168;0;UNSATISFIABLE;None;;0.169;0
instance_40_10_5_10;UNSATISFIABLE;None;;0.086;0;UNSATISFIABLE;None;;0.12;0;UNSATISFIABLE;None;;0.117;0;UNSATISFIABLE;None;;0.079;0;UNSATISFIABLE;None;;0.12;0;UNSATISFIABLE;None;;0.121;0;UNSATISFIABLE;None;;0.083;0;UNSATISFIABLE;None;;0.084;0
instance_40_10_5_11;TIMEOUT;None;;300.108;0;OPTIMUM;609.0;609;211.591;43236;OPTIMUM;609.0;609;131.331;43250;OPTIMUM;609.0;609;116.529;27988;OPTIMUM;609.0;609;168.503;16088;OPTIMUM;609.0;609;174.938;16102;OPTIMUM;609.0;609;121.209;9293;OPTIMUM;609.0;609;121.919;9307
instance_40_10_5_12;TIMEOUT;None;;300.116;0;TIMEOUT;None;;300.114;0;TIMEOUT;None;;300.112;0;TIMEOUT;None;;300.109;0;TIMEOUT;None;;300.117;0;TIMEOUT;None;;300.118;0;TIMEOUT;None;;300.11;0;TIMEOUT;None;;300.119;0
instance_40_10_5_13;UNSATISFIABLE;None;;0.093;0;UNSATISFIABLE;None;;0.122;0;UNSATISFIABLE;None;;0.121;0;UNSATISFIABLE;None;;0.093;0;UNSATISFIABLE;None;;0.133;0;UNSATISFIABLE;None;;0.136;0;UNSATISFIABLE;None;;0.12;0;UNSATISFIABLE;None;;0.126;0
instance_40_10_5_14;OPTIMUM;663.0;663;52.254;31198;OPTIMUM;663.0;663;65.925;45519;OPTIMUM;663.0;663;63.357;45520;OPTIMUM;663.0;663;47.957;31890;OPTIMUM;663.0;663;47.392;17110;OPTIMUM;663.0;663;47.249;17111;OPTIMUM;663.0;663;52.679;10725;OPTIMUM;663.0;663;51.605;11417
instance_40_10_5_15;UNSATISFIABLE;None;;0.084;0;UNSATISFIABLE;None;;0.116;0;UNSATISFIABLE;None;;0.114;0;UNSATISFIABLE;None;;0.081;0;UNSATISFIABLE;None;;0.123;0;UNSATISFIABLE;None;;0.113;0;UNSATISFIABLE;None;;0.088;0;UNSATISFIABLE;None;;0.111;0
instance_40_10_5_16;UNSATISFIABLE;None;;0.219;0;UNSATISFIABLE;None;;0.243;0;UNSATISFIABLE;None;;0.248;0;UNSATISFIABLE;None;;0.202;0;UNSATISFIABLE;None;;0.198;0;UNSATISFIABLE;None;;0.198;0;UNSATISFIABLE;None;;0.162;0;UNSATISFIABLE;None;;0.165;0
instance_40_10_5_17;OPTIMUM;706.0;706;26.726;29295;OPTIMUM;706.0;706;22.351;43642;OPTIMUM;706.0;706;23.131;43658;OPTIMUM;706.0;706;27.214;29311;OPTIMUM;706.0;706;35.209;16737;OPTIMUM;706.0;706;30.254;16753;OPTIMUM;706.0;706;40.66;10517;OPTIMUM;706.0;706;29.79;10533
instance_40_10_5_18;UNSATISFIABLE;None;;0.104;0;UNSATISFIABLE;None;;0.125;0;UNSATISFIABLE;None;;0.122;0;UNSATISFIABLE;None;;0.097;0;UNSATISFIABLE;None;;0.126;0;UNSATISFIABLE;None;;0.124;0;UNSATISFIABLE;None;;0.103;0;UNSATISFIABLE;None;;0.107;0
instance_40_10_5_19;TIMEOUT;None;;300.115;0;OPTIMUM;675.0;675;254.138;45915;OPTIMUM;675.0;675;295.054;45915;TIMEOUT;None;;300.115;0;OPTIMUM;675.0;675;283.938;17728;TIMEOUT;None;;300.117;0;TIMEOUT;None;;300.117;0;TIMEOUT;None;;300.118;0
instance_40_10_5_2;OPTIMUM;704.0;704;68.567;32208;OPTIMUM;704.0;704;70.653;47835;OPTIMUM;704.0;704;72.691;47836;OPTIMUM;704.0;704;69.714;32918;OPTIMUM;704.0;704;84.204;17451;OPTIMUM;704.0;704;74.336;17452;OPTIMUM;704.0;704;69.708;10795;OPTIMUM;704.0;704;98.868;11505
instance_40_10_5_20;UNSATISFIABLE;None;;0.055;0;UNSATISFIABLE;None;;0.099;0;UNSATISFIABLE;None;;0.085;0;UNSATISFIABLE;None;;0.061;0;UNSATISFIABLE;None;;0.083;0;UNSATISFIABLE;None;;0.083;0;UNSATISFIABLE;None;;0.058;0;UNSATISFIABLE;None;;0.061;0
instance_40_10_5_21;UNSATISFIABLE;None;;0.078;0;UNSATISFIABLE;None;;0.125;0;UNSATISFIABLE;None;;0.119;0;UNSATISFIABLE;None;;0.095;0;UNSATISFIABLE;None;;0.103;0;UNSATISFIABLE;None;;0.103;0;UNSATISFIABLE;None;;0.084;0;UNSATISFIABLE;None;;0.084;0
instance_40_10_5_22;TIMEOUT;None;;300.112;0;TIMEOUT;None;;300.123;0;TIMEOUT;None;;300.122;0;TIMEOUT;None;;300.118;0;TIMEOUT;None;;300.119;0;TIMEOUT;None;;300.119;0;TIMEOUT;None;;300.111;0;TIMEOUT;None;;300.12;0
